CRP-FILE ,CALID     ,Calibration Signature           ,Size ,Software                             ,Market (Addon)
F138E0086,F138E0086 ,F138E0086       03-09-2020 16:32,27052,T6-EXIGE-430CUP-V000C 28/02/2018V0004,ROW (EX Flap)
C138E0093,C138E0093 ,C138E0093       04-01-2019 14:42,27052,T6-EXIGE-430CUP-V000D 01/05/2018V0002,ROW (EX Flap)
D138E0093,D138E0093 ,D138E0093       03-09-2020 16:30,27052,T6-EXIGE-430CUP-V000D 01/05/2018V0002,ROW (EX Flap)
A138E0105,A138E0105 ,A138E0105       12-07-2020 10:08,27052,T6-EXIGE-430CUP-V000D 26/11/2020V0003,ROW (EX Flap)
A138E0107,A138E0107 ,A138E0107       12-07-2020 10:25,27052,T6-EXIGE-430CUP-V000D 26/11/2020V0003,ROW (EX Flap)
A138E0110,A138E0110 ,A138E0110        04-30-2021 9:47,27052,T6-EXIGE-430CUP-V000D 26/11/2020V0003,ROW (EX Flap)
A138E0112,A138E0112 ,A138E0112       04-30-2021 11:47,27052,T6-EXIGE-430CUP-V000D 26/11/2020V0003,ROW (EX Flap)
B138E0081,B138E0081 ,B138E0081       03-09-2018 11:24,25050,T6-V000B 08/06/2017 Lotus Eng        ,ROW (EX Flap)
D138E0009,D138E0009 ,D138E0009       04-22-2013 10:13,25050,T6-V000D  04/03/2013 Lotus Eng       ,China Euro GCC ROW TRACK (EX Flap)
B138E0069,B138E0069 ,B138E0069       03-09-2018 11:10,25050,T6-V000J 26/01/2017 Lotus Eng        ,ROW (EX Flap)
F138E0009,F138E0009 ,F138E0009       02-19-2014 10:10,25050,T6-V000K 18/02/2014 Lotus Eng        ,China Euro GCC ROW TRACK (EX Flap)
P138E0009,P138E0009 ,P138E0009       04-27-2017 15:15,25050,T6-V000S 27/04/2017 Lotus Eng        ,China Euro GCC ROW TRACK (EX Flap)
C138E0098,C138E0098 ,C138E0098        03-25-2019 9:19,25050,T6-V000U 28/08/2018 Lotus Eng        ,ROW (EX Flap)
D138E0098,D138E0098 ,D138E0098       03-09-2020 16:14,25050,T6-V000U 28/08/2018 Lotus Eng        ,ROW (EX Flap)
C132E0044,C132E0044 ,T6A0B5F02       03-23-2011 17:06,18548,T6-V00A0  23/03/2011 Lotus Eng       ,FED KOREA
